ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202224325,5,Жилое здание это здание для … .,Б. проживания,,0
202224325,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224325,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224325,8,Естественный цвет бетона - …,Б. серый,,0
202224325,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224325,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224325,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224325,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,A.строительстве и ремонте дорог.,2
202224325,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,B.здания,2
202224325,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,B.инструменты,2
202224325,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,B.компонентами при производстве бетона.,2
202224325,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,C.балкон,2
202224009,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224009,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224009,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224009,5,Жилое здание это здание для … .,Б. проживания,,0
202224009,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224009,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224009,8,Естественный цвет бетона - …,Б. серый,,0
202224009,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224009,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224009,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224009,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224009,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,B.инструменты,2
202224009,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,B.компонентами при производстве бетона.,2
202224009,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,C.всех типов балконов и лоджий.,2
202224009,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,A.экскаватор,1
202224115,8,Естественный цвет бетона - …,Б. серый,,0
202224115,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224115,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224115,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224115,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224115,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224115,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224115,5,Жилое здание это здание для … .,Б. проживания,,0
202224115,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224115,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224115,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,C.всех типов балконов и лоджий.,2
202224115,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,2
202224115,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224115,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,A.строительстве и ремонте дорог.,2
202224115,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",A.Площадка с ограждением， которая выступает на фасаде здания.,2
202224112,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224112,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224112,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224112,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224112,5,Жилое здание это здание для … .,Б. проживания,,0
202224112,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224112,8,Естественный цвет бетона - …,Б. серый,,0
202224112,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224112,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224112,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224112,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224112,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224112,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,B.здания,2
202224112,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,A.камень,2
